ID,tournament,year,winner,winner_seed,winner_nationality,runner_up,runner_up_seed,runner_up_nationality,score
1,W,1968,Rod Laver,1,AUS,Tony Roche,15,AUS,"6-3, 6-4, 6-2"
2,W,1969,Rod Laver,1,AUS,John Newcombe,6,AUS,"6-4, 5-7, 6-4, 6-4"
3,W,1970,John Newcombe,2,AUS,Ken Rosewall,5,AUS,"5-7, 6-3, 6-2, 3-6, 6-1"
4,W,1971,John Newcombe,2,AUS,Stan Smith,4,USA,"6-3, 5-7, 2-6, 6-4, 6-4"
5,W,1972,Stan Smith,1,USA,Ilie Nastase,2,ROM,"4-6, 6-3, 6-3, 4-6, 7-5"
6,W,1973,Jan Kodeo,2,TCH,Alex Metreveli,4,URS,"6-1, 9-8(7-5), 6-3"
7,W,1974,Jimmy Connors,3,USA,Ken Rosewall,9,AUS,"6-1, 6-1, 6-4"
8,W,1975,Arthur Ashe,6,USA,Jimmy Connors,1,USA,"6-1, 6-1, 5-7, 6-4"
9,W,1976,Bjorn Borg,4,SWE,Ilie Nastase,3,ROM,"6-4, 6-2, 9-7"
10,W,1977,Bjorn Borg,2,SWE,Jimmy Connors,1,USA,"3-6, 6-2, 6-1, 5-7, 6-4"
11,W,1978,Bjorn Borg,1,SWE,Jimmy Connors,2,USA,"6-2, 6-2, 6-3"
12,W,1979,Bjorn Borg,1,SWE,Roscoe Tanner,5,USA,"6-7(4-7), 6-1, 3-6, 6-3, 6-4"
13,W,1980,Bjorn Borg,1,SWE,John McEnroe,2,USA,"1-6, 7-5, 6-3, 6-7(16-18), 8-6"
14,W,1981,John McEnroe,2,USA,Bjorn Borg,1,SWE,"4-6, 7-6(7-1), 7-6(7-4), 6-4"
15,W,1982,Jimmy Connors,2,USA,John McEnroe,1,USA,"3-6, 6-3, 6-7(2-7), 7-6(7-5), 6-4"
16,W,1983,John McEnroe,2,USA,Chris Lewis,99,NZL,"6-2, 6-2, 6-2"
17,W,1984,John McEnroe,1,USA,Jimmy Connors,3,USA,"6-1, 6-1, 6-2"
18,W,1985,Boris Becker,99,FRG,Kevin Curren,8,USA,"6-3, 6-7(4-7), 7-6(7-3), 6-4"
19,W,1986,Boris Becker,4,FRG,Ivan Lendl,1,TCH,"6-4, 6-3, 7-5"
20,W,1987,Pat Cash,11,AUS,Ivan Lendl,2,TCH,"7-6(7-5), 6-2, 7-5"
21,W,1988,Stefan Edberg,3,SWE,Boris Becker,6,FRG,"4-6, 7-6(7-2), 6-4, 6-2"
22,W,1989,Boris Becker,3,FRG,Stefan Edberg,2,SWE,"6-0, 7-6(7-1), 6-4"
23,W,1990,Stefan Edberg,3,SWE,Boris Becker,2,FRG,"6-2, 6-2, 3-6, 3-6, 6-4"
24,W,1991,Michael Stich,6,GER,Boris Becker,2,GER,"6-4, 7-6(7-4), 6-4"
25,W,1992,Andre Agassi,12,USA,Goran Ivanioevic,8,CRO,"6-7(8-10), 6-4, 6-4, 1-6, 6-4"
26,W,1993,Pete Sampras,1,USA,Jim Courier,3,USA,"7-6(7-3), 7-6(8-6), 3-6, 6-3"
27,W,1994,Pete Sampras,1,USA,Goran Ivanioevic,4,CRO,"7-6(7-2), 7-6(7-5), 6-0"
28,W,1995,Pete Sampras,2,USA,Boris Becker,3,GER,"6-7(5-7), 6-2, 6-4, 6-2"
29,W,1996,Richard Krajicek,99,NED,MaliVai Washington,99,USA,"6-3, 6-4, 6-3"
30,W,1997,Pete Sampras,1,USA,Cédric Pioline,99,FRA,"6-4, 6-2, 6-4"
31,W,1998,Pete Sampras,1,USA,Goran Ivanioevic,14,CRO,"6-7(2-7), 7-6(11-9), 6-4, 3-6, 6-2"
32,W,1999,Pete Sampras,1,USA,Andre Agassi,4,USA,"6-3, 6-4, 7-5"
33,W,2000,Pete Sampras,1,USA,Patrick Rafter,12,AUS,"6-7(10-12), 7-6(7-5), 6-4, 6-2"
